evaluation_case_id,customer_id,merchant_id,amount,failure_category,payment_method,time_since_failure_min,customer_success_rate,customer_failure_rate,payment_method_success_rate,payment_method_failure_rate,previous_recovery_attempts,previous_recovery_successes,previous_recovery_failures,candidate_action
evaluation_001,cust_0233,merchant_045,297.07,TEMPORARY_FAILURE,UPI,1256,0.1825,0.0671,0.5437,0.8118,0,0,0,REMINDER
evaluation_002,cust_0053,merchant_042,805.57,PAYMENT_METHOD_ERROR,UPI,1024,0.4515,0.4074,0.1927,0.3372,1,0,1,REMINDER
evaluation_003,cust_0312,merchant_018,45.15,INSUFFICIENT_FUNDS,NETBANKING,169,0.7553,0.7856,0.3881,0.5945,3,2,1,RETRY
evaluation_004,cust_0254,merchant_020,802.34,UNKNOWN_FAILURE,UPI,2587,0.1577,0.7673,0.6518,0.4138,4,0,1,RETRY
evaluation_005,cust_0252,merchant_017,66.97,INSUFFICIENT_FUNDS,NETBANKING,1181,0.4258,0.1535,0.9495,0.2100,5,4,1,REMINDER
evaluation_006,cust_0011,merchant_042,544.42,UNKNOWN_FAILURE,NETBANKING,1531,0.6168,0.6692,0.6867,0.4566,0,0,0,REMINDER
evaluation_007,cust_0223,merchant_009,650.28,PAYMENT_METHOD_ERROR,CARD,1004,0.7350,0.0500,0.2302,0.5188,0,0,0,REMINDER
evaluation_008,cust_0185,merchant_011,843.22,TEMPORARY_FAILURE,UPI,2204,0.1512,0.1518,0.8015,0.5899,1,1,0,REMINDER
evaluation_009,cust_0055,merchant_034,267.87,INSUFFICIENT_FUNDS,WALLET,1608,0.5004,0.3537,0.3494,0.5709,1,0,1,REMINDER
evaluation_010,cust_0273,merchant_010,725.13,UNKNOWN_FAILURE,CARD,1717,0.6597,0.5559,0.3228,0.7770,4,3,0,RETRY
evaluation_011,cust_0003,merchant_007,705.27,UNKNOWN_FAILURE,CARD,1167,0.3551,0.3489,0.2594,0.7851,2,1,1,RETRY
evaluation_012,cust_0238,merchant_005,659.00,PAYMENT_METHOD_ERROR,NETBANKING,393,0.4829,0.2662,0.7888,0.2802,2,2,0,RETRY
evaluation_013,cust_0211,merchant_021,559.06,UNKNOWN_FAILURE,WALLET,168,0.7736,0.4318,0.2625,0.7696,5,5,0,REMINDER
evaluation_014,cust_0301,merchant_008,1.18,TEMPORARY_FAILURE,WALLET,260,0.9375,0.8215,0.5994,0.6605,3,0,2,RETRY
evaluation_015,cust_0106,merchant_007,599.39,UNKNOWN_FAILURE,CARD,2475,0.3348,0.5852,0.8810,0.5042,1,0,1,RETRY
evaluation_016,cust_0147,merchant_042,281.81,UNKNOWN_FAILURE,UPI,1286,0.3154,0.2239,0.7633,0.4216,2,0,1,RETRY
evaluation_017,cust_0050,merchant_004,698.83,INSUFFICIENT_FUNDS,WALLET,1143,0.5874,0.2258,0.3987,0.3520,0,0,0,RETRY
evaluation_018,cust_0174,merchant_039,618.53,PAYMENT_METHOD_ERROR,UPI,2830,0.7655,0.8438,0.9397,0.8423,2,0,0,REMINDER
evaluation_019,cust_0204,merchant_046,421.94,PAYMENT_METHOD_ERROR,NETBANKING,1525,0.6197,0.2870,0.9448,0.3492,4,0,1,REMINDER
evaluation_020,cust_0309,merchant_003,191.36,UNKNOWN_FAILURE,NETBANKING,1096,0.3014,0.3260,0.7439,0.1207,1,0,1,RETRY
evaluation_021,cust_0237,merchant_015,825.48,UNKNOWN_FAILURE,NETBANKING,2496,0.7856,0.1964,0.4396,0.2774,2,1,0,RETRY
evaluation_022,cust_0023,merchant_043,629.31,PAYMENT_METHOD_ERROR,WALLET,1488,0.5577,0.2350,0.1141,0.5932,1,0,0,RETRY
evaluation_023,cust_0210,merchant_005,151.30,UNKNOWN_FAILURE,CARD,1468,0.9058,0.4447,0.7426,0.2480,4,4,0,REMINDER
evaluation_024,cust_0180,merchant_031,828.69,UNKNOWN_FAILURE,NETBANKING,1032,0.6317,0.7744,0.4891,0.3731,2,2,0,RETRY
evaluation_025,cust_0293,merchant_010,27.24,TEMPORARY_FAILURE,WALLET,297,0.4577,0.7430,0.5956,0.5740,0,0,0,RETRY
evaluation_026,cust_0060,merchant_043,471.25,PAYMENT_METHOD_ERROR,WALLET,1508,0.6532,0.1333,0.5698,0.1702,0,0,0,REMINDER
evaluation_027,cust_0152,merchant_009,110.77,UNKNOWN_FAILURE,NETBANKING,2486,0.8111,0.8559,0.2908,0.6923,5,4,1,RETRY
evaluation_028,cust_0247,merchant_001,913.19,PAYMENT_METHOD_ERROR,UPI,1306,0.6399,0.1094,0.6027,0.4132,1,0,1,RETRY
evaluation_029,cust_0311,merchant_022,36.64,TEMPORARY_FAILURE,NETBANKING,687,0.1377,0.3783,0.8343,0.6110,0,0,0,RETRY
