evaluation_case_id,candidate_action,true_success_probability,actual_outcome,actual_recovered_amount,intervention_cost
evaluation_001,REMINDER,0.183490,FAILURE,0.00,1.00
evaluation_002,REMINDER,0.093990,FAILURE,0.00,1.00
evaluation_003,RETRY,0.304210,FAILURE,0.00,2.00
evaluation_004,RETRY,0.050000,FAILURE,0.00,2.00
evaluation_005,REMINDER,0.117640,FAILURE,0.00,1.00
evaluation_006,REMINDER,0.202380,SUCCESS,544.42,1.00
evaluation_007,REMINDER,0.286540,FAILURE,0.00,1.00
evaluation_008,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_009,REMINDER,0.120000,FAILURE,0.00,1.00
evaluation_010,RETRY,0.050000,FAILURE,0.00,2.00
evaluation_011,RETRY,0.108410,FAILURE,0.00,2.00
evaluation_012,RETRY,0.202630,FAILURE,0.00,2.00
evaluation_013,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_014,RETRY,0.501130,SUCCESS,1.18,2.00
evaluation_015,RETRY,0.226640,SUCCESS,599.39,2.00
evaluation_016,RETRY,0.197280,FAILURE,0.00,2.00
evaluation_017,RETRY,0.505960,SUCCESS,698.83,2.00
evaluation_018,REMINDER,0.137590,FAILURE,0.00,1.00
evaluation_019,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_020,RETRY,0.289200,FAILURE,0.00,2.00
evaluation_021,RETRY,0.173600,FAILURE,0.00,2.00
evaluation_022,RETRY,0.090130,FAILURE,0.00,2.00
evaluation_023,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_024,RETRY,0.237330,SUCCESS,828.69,2.00
evaluation_025,RETRY,0.656430,SUCCESS,27.24,2.00
evaluation_026,REMINDER,0.229920,FAILURE,0.00,1.00
evaluation_027,RETRY,0.051490,FAILURE,0.00,2.00
evaluation_028,RETRY,0.312510,SUCCESS,913.19,2.00
evaluation_029,RETRY,0.558170,FAILURE,0.00,2.00
evaluation_030,RETRY,0.132840,FAILURE,0.00,2.00
evaluation_031,RETRY,0.105480,FAILURE,0.00,2.00
evaluation_032,RETRY,0.401640,SUCCESS,960.69,2.00
evaluation_033,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_034,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_035,RETRY,0.211260,FAILURE,0.00,2.00
evaluation_036,REMINDER,0.148120,FAILURE,0.00,1.00
evaluation_037,REMINDER,0.071610,FAILURE,0.00,1.00
evaluation_038,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_039,RETRY,0.118320,FAILURE,0.00,2.00
evaluation_040,RETRY,0.050000,FAILURE,0.00,2.00
evaluation_041,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_042,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_043,REMINDER,0.338810,FAILURE,0.00,1.00
evaluation_044,RETRY,0.287620,SUCCESS,975.72,2.00
evaluation_045,RETRY,0.247500,FAILURE,0.00,2.00
evaluation_046,REMINDER,0.374170,FAILURE,0.00,1.00
evaluation_047,RETRY,0.592670,SUCCESS,909.93,2.00
evaluation_048,RETRY,0.238290,FAILURE,0.00,2.00
evaluation_049,REMINDER,0.050000,FAILURE,0.00,1.00
evaluation_050,RETRY,0.346190,SUCCESS,339.07,2.00
evaluation_051,REMINDER,0.468370,SUCCESS,270.96,1.00
evaluation_052,REMINDER,0.091910,FAILURE,0.00,1.00
