training_example_id,customer_id,merchant_id,amount,failure_category,payment_method,time_since_failure_min,customer_success_rate,customer_failure_rate,payment_method_success_rate,payment_method_failure_rate,previous_recovery_attempts,previous_recovery_successes,previous_recovery_failures,candidate_action,outcome
training_0001,cust_0151,merchant_004,399.01,PAYMENT_METHOD_ERROR,NETBANKING,624,0.4291,0.6248,0.8052,0.5565,5,3,0,REMINDER,FAILURE
training_0002,cust_0256,merchant_009,634.72,INSUFFICIENT_FUNDS,WALLET,1883,0.4562,0.8824,0.6081,0.2479,0,0,0,RETRY,SUCCESS
training_0003,cust_0035,merchant_007,455.68,INSUFFICIENT_FUNDS,NETBANKING,958,0.3961,0.5663,0.7970,0.7428,1,1,0,RETRY,FAILURE
training_0004,cust_0240,merchant_046,476.66,UNKNOWN_FAILURE,WALLET,2792,0.5129,0.7456,0.4427,0.1712,2,2,0,RETRY,SUCCESS
training_0005,cust_0046,merchant_028,325.74,TEMPORARY_FAILURE,NETBANKING,2568,0.8352,0.2775,0.5000,0.3262,4,2,1,RETRY,FAILURE
training_0006,cust_0002,merchant_029,584.90,UNKNOWN_FAILURE,CARD,770,0.4189,0.1738,0.6643,0.2806,1,0,0,RETRY,SUCCESS
training_0007,cust_0243,merchant_039,252.61,INSUFFICIENT_FUNDS,UPI,607,0.3730,0.8419,0.1855,0.3296,3,1,0,REMINDER,FAILURE
training_0008,cust_0275,merchant_036,649.21,UNKNOWN_FAILURE,CARD,820,0.8939,0.4758,0.6482,0.1813,2,0,0,REMINDER,FAILURE
training_0009,cust_0246,merchant_011,315.81,INSUFFICIENT_FUNDS,WALLET,316,0.5701,0.2960,0.3891,0.4683,4,0,4,RETRY,FAILURE
training_0010,cust_0243,merchant_047,72.28,TEMPORARY_FAILURE,NETBANKING,2361,0.2731,0.3760,0.1706,0.4579,3,1,1,REMINDER,FAILURE
training_0011,cust_0215,merchant_032,313.31,TEMPORARY_FAILURE,UPI,29,0.6735,0.7661,0.9463,0.5833,2,1,0,RETRY,FAILURE
training_0012,cust_0199,merchant_026,111.78,TEMPORARY_FAILURE,CARD,1084,0.7645,0.4143,0.3684,0.4944,0,0,0,RETRY,SUCCESS
training_0013,cust_0276,merchant_002,69.86,PAYMENT_METHOD_ERROR,NETBANKING,1791,0.8650,0.7560,0.2197,0.8220,4,3,0,RETRY,FAILURE
training_0014,cust_0295,merchant_035,940.77,UNKNOWN_FAILURE,NETBANKING,440,0.2980,0.8578,0.1621,0.4907,0,0,0,REMINDER,FAILURE
training_0015,cust_0339,merchant_006,402.32,PAYMENT_METHOD_ERROR,UPI,129,0.9249,0.6737,0.8218,0.5113,0,0,0,RETRY,SUCCESS
training_0016,cust_0031,merchant_028,312.28,INSUFFICIENT_FUNDS,CARD,612,0.2687,0.3385,0.3296,0.1601,0,0,0,REMINDER,SUCCESS
training_0017,cust_0042,merchant_025,284.94,INSUFFICIENT_FUNDS,NETBANKING,479,0.6808,0.6967,0.4460,0.0676,3,1,1,RETRY,FAILURE
training_0018,cust_0138,merchant_046,655.69,UNKNOWN_FAILURE,NETBANKING,1130,0.7532,0.5556,0.6560,0.5517,4,3,1,REMINDER,FAILURE
training_0019,cust_0233,merchant_046,167.98,PAYMENT_METHOD_ERROR,CARD,1908,0.3460,0.5327,0.2431,0.5758,5,5,0,RETRY,FAILURE
training_0020,cust_0048,merchant_002,111.52,PAYMENT_METHOD_ERROR,UPI,620,0.4330,0.3205,0.7943,0.4334,2,0,1,RETRY,FAILURE
training_0021,cust_0115,merchant_043,43.93,INSUFFICIENT_FUNDS,CARD,2004,0.8406,0.5820,0.1514,0.7690,2,0,1,RETRY,FAILURE
training_0022,cust_0005,merchant_002,787.99,PAYMENT_METHOD_ERROR,CARD,791,0.3080,0.6614,0.7282,0.1041,3,3,0,RETRY,FAILURE
training_0023,cust_0090,merchant_041,256.34,PAYMENT_METHOD_ERROR,CARD,1132,0.1870,0.4944,0.3254,0.0980,4,1,1,REMINDER,FAILURE
training_0024,cust_0181,merchant_027,378.50,PAYMENT_METHOD_ERROR,CARD,1887,0.1103,0.3008,0.3592,0.7827,3,2,1,REMINDER,FAILURE
training_0025,cust_0185,merchant_027,779.40,TEMPORARY_FAILURE,UPI,66,0.7640,0.7900,0.1827,0.1764,1,0,0,REMINDER,FAILURE
training_0026,cust_0110,merchant_012,716.48,INSUFFICIENT_FUNDS,UPI,1522,0.3523,0.7035,0.6525,0.5431,3,3,0,RETRY,FAILURE
training_0027,cust_0142,merchant_013,338.24,PAYMENT_METHOD_ERROR,UPI,152,0.5746,0.1651,0.3733,0.8832,3,0,0,RETRY,FAILURE
training_0028,cust_0135,merchant_017,732.91,INSUFFICIENT_FUNDS,WALLET,2274,0.6385,0.8592,0.8973,0.0708,4,4,0,RETRY,SUCCESS
training_0029,cust_0014,merchant_022,247.79,INSUFFICIENT_FUNDS,UPI,2475,0.2132,0.7276,0.6479,0.5438,0,0,0,RETRY,FAILURE
training_0030,cust_0350,merchant_011,183.57,TEMPORARY_FAILURE,UPI,1334,0.2104,0.1302,0.4870,0.8014,1,1,0,REMINDER,FAILURE
training_0031,cust_0348,merchant_018,921.28,INSUFFICIENT_FUNDS,NETBANKING,928,0.3734,0.5019,0.7782,0.6916,3,2,1,RETRY,FAILURE
training_0032,cust_0165,merchant_045,318.75,TEMPORARY_FAILURE,UPI,118,0.7674,0.3365,0.6629,0.1547,4,1,1,REMINDER,SUCCESS
training_0033,cust_0005,merchant_014,73.96,TEMPORARY_FAILURE,NETBANKING,1290,0.9442,0.7382,0.2396,0.4232,5,0,2,RETRY,FAILURE
training_0034,cust_0047,merchant_001,828.21,UNKNOWN_FAILURE,UPI,1704,0.4399,0.7397,0.1978,0.4930,5,5,0,REMINDER,FAILURE
training_0035,cust_0004,merchant_012,162.51,INSUFFICIENT_FUNDS,NETBANKING,1783,0.6942,0.1860,0.8890,0.8938,3,1,1,REMINDER,SUCCESS
training_0036,cust_0012,merchant_011,276.25,UNKNOWN_FAILURE,WALLET,2748,0.3143,0.5482,0.2369,0.0783,3,1,2,REMINDER,FAILURE
training_0037,cust_0338,merchant_040,532.15,PAYMENT_METHOD_ERROR,NETBANKING,804,0.6679,0.5109,0.7804,0.3862,1,1,0,RETRY,FAILURE
training_0038,cust_0301,merchant_046,971.62,TEMPORARY_FAILURE,CARD,2417,0.1421,0.5705,0.7745,0.8113,4,4,0,REMINDER,FAILURE
training_0039,cust_0203,merchant_044,590.93,TEMPORARY_FAILURE,NETBANKING,2122,0.5658,0.2045,0.5458,0.4163,1,0,0,REMINDER,SUCCESS
training_0040,cust_0120,merchant_042,201.71,INSUFFICIENT_FUNDS,CARD,2777,0.7117,0.4768,0.6034,0.8658,3,1,1,RETRY,FAILURE
training_0041,cust_0304,merchant_010,421.83,UNKNOWN_FAILURE,CARD,1379,0.3060,0.7074,0.3058,0.2216,3,0,3,REMINDER,FAILURE
training_0042,cust_0144,merchant_002,571.64,INSUFFICIENT_FUNDS,UPI,2629,0.4414,0.7753,0.2781,0.6037,4,2,0,RETRY,FAILURE
training_0043,cust_0292,merchant_006,495.67,INSUFFICIENT_FUNDS,CARD,838,0.1519,0.4627,0.7963,0.1303,4,0,1,RETRY,FAILURE
training_0044,cust_0284,merchant_046,190.09,TEMPORARY_FAILURE,UPI,2584,0.2732,0.5195,0.2722,0.0882,2,0,2,RETRY,FAILURE
training_0045,cust_0172,merchant_012,805.41,UNKNOWN_FAILURE,CARD,927,0.5649,0.0825,0.2764,0.5690,3,3,0,REMINDER,FAILURE
training_0046,cust_0279,merchant_026,42.89,TEMPORARY_FAILURE,UPI,2378,0.7725,0.6355,0.5173,0.8832,1,1,0,RETRY,FAILURE
training_0047,cust_0054,merchant_047,542.49,PAYMENT_METHOD_ERROR,UPI,2246,0.3904,0.6479,0.8825,0.3338,5,3,2,RETRY,FAILURE
training_0048,cust_0275,merchant_034,162.57,INSUFFICIENT_FUNDS,NETBANKING,22,0.7871,0.4996,0.3186,0.3791,3,0,3,REMINDER,FAILURE
training_0049,cust_0298,merchant_027,129.94,UNKNOWN_FAILURE,UPI,1916,0.6824,0.4059,0.8444,0.6274,3,2,1,RETRY,FAILURE
training_0050,cust_0104,merchant_039,766.61,PAYMENT_METHOD_ERROR,UPI,247,0.2596,0.0861,0.4446,0.0740,0,0,0,RETRY,SUCCESS
training_0051,cust_0333,merchant_011,182.15,PAYMENT_METHOD_ERROR,WALLET,1609,0.5042,0.8136,0.6878,0.6534,0,0,0,REMINDER,FAILURE
training_0052,cust_0057,merchant_023,579.28,TEMPORARY_FAILURE,CARD,215,0.2098,0.8782,0.5684,0.1982,2,2,0,REMINDER,FAILURE
training_0053,cust_0074,merchant_015,974.42,TEMPORARY_FAILURE,CARD,1050,0.7723,0.3863,0.9246,0.3427,2,2,0,RETRY,FAILURE
training_0054,cust_0022,merchant_009,436.91,INSUFFICIENT_FUNDS,WALLET,2617,0.8384,0.4635,0.6770,0.6200,5,3,0,REMINDER,FAILURE
training_0055,cust_0233,merchant_022,838.27,PAYMENT_METHOD_ERROR,NETBANKING,1105,0.7916,0.4372,0.5837,0.4768,3,0,0,RETRY,FAILURE
training_0056,cust_0257,merchant_035,882.71,TEMPORARY_FAILURE,NETBANKING,1153,0.2910,0.7296,0.5941,0.7720,3,0,1,RETRY,SUCCESS
training_0057,cust_0166,merchant_010,865.76,PAYMENT_METHOD_ERROR,CARD,2117,0.2070,0.5648,0.2005,0.6672,0,0,0,REMINDER,FAILURE
training_0058,cust_0186,merchant_008,770.53,UNKNOWN_FAILURE,WALLET,2696,0.9259,0.5494,0.4701,0.4330,1,0,0,RETRY,FAILURE
training_0059,cust_0049,merchant_047,334.20,PAYMENT_METHOD_ERROR,UPI,244,0.7476,0.1518,0.4762,0.5919,3,0,1,RETRY,FAILURE
training_0060,cust_0089,merchant_047,333.18,UNKNOWN_FAILURE,UPI,2801,0.6131,0.2574,0.1649,0.7977,1,1,0,RETRY,FAILURE
training_0061,cust_0295,merchant_045,59.17,PAYMENT_METHOD_ERROR,WALLET,2240,0.3942,0.2172,0.4267,0.2259,5,1,0,RETRY,FAILURE
training_0062,cust_0154,merchant_029,888.26,INSUFFICIENT_FUNDS,UPI,745,0.7769,0.2430,0.9185,0.2535,2,2,0,REMINDER,FAILURE
training_0063,cust_0279,merchant_026,639.71,INSUFFICIENT_FUNDS,NETBANKING,1581,0.1661,0.6197,0.1389,0.4086,3,2,1,REMINDER,FAILURE
training_0064,cust_0039,merchant_042,840.73,PAYMENT_METHOD_ERROR,WALLET,518,0.7878,0.4445,0.1765,0.1214,5,5,0,REMINDER,FAILURE
training_0065,cust_0053,merchant_022,638.17,TEMPORARY_FAILURE,NETBANKING,2376,0.3240,0.4562,0.6814,0.3726,4,1,2,REMINDER,SUCCESS
training_0066,cust_0292,merchant_044,646.44,TEMPORARY_FAILURE,CARD,2238,0.7666,0.0931,0.8216,0.2311,4,2,2,REMINDER,FAILURE
training_0067,cust_0295,merchant_041,633.00,PAYMENT_METHOD_ERROR,NETBANKING,1827,0.4443,0.8565,0.3206,0.2739,4,4,0,RETRY,FAILURE
training_0068,cust_0052,merchant_040,32.58,UNKNOWN_FAILURE,WALLET,2184,0.6397,0.3184,0.7374,0.1521,4,1,3,RETRY,FAILURE
training_0069,cust_0218,merchant_007,114.38,TEMPORARY_FAILURE,WALLET,2873,0.1404,0.1904,0.7817,0.5979,3,3,0,REMINDER,FAILURE
training_0070,cust_0268,merchant_010,986.34,PAYMENT_METHOD_ERROR,UPI,259,0.3645,0.6966,0.9030,0.3958,2,0,0,RETRY,SUCCESS
training_0071,cust_0086,merchant_004,406.37,PAYMENT_METHOD_ERROR,NETBANKING,561,0.6631,0.4914,0.1141,0.4272,0,0,0,RETRY,FAILURE
training_0072,cust_0345,merchant_020,731.01,TEMPORARY_FAILURE,WALLET,2737,0.3333,0.5666,0.5910,0.4147,1,1,0,RETRY,SUCCESS
training_0073,cust_0340,merchant_045,689.12,INSUFFICIENT_FUNDS,NETBANKING,527,0.9340,0.8432,0.2568,0.3467,3,0,1,REMINDER,FAILURE
training_0074,cust_0151,merchant_018,687.92,INSUFFICIENT_FUNDS,CARD,1731,0.4587,0.1383,0.8633,0.3247,1,0,0,RETRY,FAILURE
training_0075,cust_0199,merchant_023,449.64,TEMPORARY_FAILURE,CARD,0,0.5336,0.0993,0.1566,0.6128,5,2,0,REMINDER,FAILURE
training_0076,cust_0045,merchant_030,224.10,UNKNOWN_FAILURE,WALLET,2430,0.4563,0.6496,0.3789,0.0804,2,2,0,REMINDER,FAILURE
training_0077,cust_0341,merchant_001,312.08,PAYMENT_METHOD_ERROR,CARD,893,0.4691,0.5934,0.4396,0.8946,3,1,0,REMINDER,FAILURE
training_0078,cust_0053,merchant_035,28.16,PAYMENT_METHOD_ERROR,UPI,1322,0.7028,0.6837,0.7977,0.6911,0,0,0,RETRY,SUCCESS
training_0079,cust_0209,merchant_049,664.71,INSUFFICIENT_FUNDS,UPI,2813,0.5856,0.7378,0.1386,0.8925,1,1,0,RETRY,FAILURE
training_0080,cust_0337,merchant_031,677.22,INSUFFICIENT_FUNDS,CARD,2101,0.1463,0.4261,0.8806,0.0798,3,2,1,RETRY,FAILURE
training_0081,cust_0205,merchant_004,31.43,TEMPORARY_FAILURE,WALLET,2209,0.1078,0.1552,0.4022,0.4410,4,3,0,RETRY,FAILURE
training_0082,cust_0203,merchant_015,704.52,UNKNOWN_FAILURE,WALLET,2568,0.4784,0.2652,0.7445,0.4458,3,2,1,RETRY,FAILURE
training_0083,cust_0125,merchant_021,31.03,TEMPORARY_FAILURE,WALLET,1075,0.8737,0.8996,0.1735,0.5864,5,2,1,REMINDER,FAILURE
training_0084,cust_0062,merchant_031,924.89,UNKNOWN_FAILURE,CARD,2840,0.5673,0.3083,0.7920,0.2103,0,0,0,RETRY,FAILURE
training_0085,cust_0273,merchant_018,67.39,INSUFFICIENT_FUNDS,WALLET,1147,0.1960,0.4811,0.5901,0.1982,1,1,0,RETRY,FAILURE
training_0086,cust_0334,merchant_048,504.28,TEMPORARY_FAILURE,NETBANKING,415,0.3846,0.5945,0.1659,0.0578,1,1,0,REMINDER,FAILURE
training_0087,cust_0199,merchant_031,930.01,INSUFFICIENT_FUNDS,CARD,361,0.5030,0.2359,0.5703,0.5276,3,2,1,REMINDER,FAILURE
training_0088,cust_0060,merchant_004,16.72,INSUFFICIENT_FUNDS,CARD,1869,0.7192,0.1359,0.5545,0.5916,4,3,0,RETRY,FAILURE
training_0089,cust_0095,merchant_013,824.86,INSUFFICIENT_FUNDS,CARD,1870,0.3853,0.5444,0.7801,0.4098,2,0,0,REMINDER,FAILURE
training_0090,cust_0278,merchant_045,767.83,UNKNOWN_FAILURE,CARD,2419,0.8242,0.4198,0.8344,0.7635,0,0,0,RETRY,FAILURE
training_0091,cust_0287,merchant_041,318.69,TEMPORARY_FAILURE,NETBANKING,2824,0.6046,0.2530,0.2373,0.3873,1,0,0,REMINDER,FAILURE
training_0092,cust_0052,merchant_046,769.00,UNKNOWN_FAILURE,WALLET,1771,0.5198,0.7048,0.7443,0.8131,4,3,0,REMINDER,FAILURE
training_0093,cust_0330,merchant_019,501.44,TEMPORARY_FAILURE,CARD,2501,0.3331,0.5763,0.9037,0.2455,5,1,0,REMINDER,FAILURE
